title,category,description,Цена из файла,height_cm,diameter_cm,branches,discount_pct,price,offer,id,photos,active,,Насколько изменилась цена?,,,,,,,
Наименование,Категория,Описание ёлки,Оригинальная цена,Высота,Диаметр,Кол-во веток,% скидки,Цена на сайте,Цена без скидки,,Ссылка на фото,,,0%,,,,,,,
Белла,С освещением,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",29 900 ₽,185 см,132 см,869 шт,-30%,29 900 ₽,42715,2,https://lady-elka.ru/d/photo_2025-09-05_21-24-45.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-24-51.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Белла,С освещением,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",42 000 ₽,215 см,148 см,1337 шт,-30%,42 000 ₽,60000,2,https://lady-elka.ru/d/photo_2025-09-05_21-24-45.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-24-51.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Белла,С освещением,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",51 000 ₽,230 см,160 см,1733 шт,-30%,51 000 ₽,72858,2,https://lady-elka.ru/d/photo_2025-09-05_21-24-45.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-24-51.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Белла,С освещением,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",66 000 ₽,250 см,172 см,2135 шт,-30%,66 000 ₽,94286,2,https://lady-elka.ru/d/photo_2025-09-05_21-24-45.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-24-51.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Белла,С освещением,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",81 000 ₽,270 см,184 см,2561 шт,-30%,81 000 ₽,115715,2,https://lady-elka.ru/d/photo_2025-09-05_21-24-45.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-24-51.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
Белла,С освещением,"Елка состоит из семипалых веток, с хвоей насыщенного зеленого цвета. Неправильная форма создает сходство с натуральным деревом. Дополнена встроенной гирляндой теплого свечения, без режимов мигания",108 000 ₽,300 см,204 см,3773 шт,-30%,108 000 ₽,154286,2,https://lady-elka.ru/d/photo_2025-09-05_21-24-45.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-24-51.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-23.jpg | https://lady-elka.ru/d/photo_2025-09-05_20-54-18.jpg |  | ,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Белла,Заснеженная,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом",16 000 ₽,150 см,116 см,461 шт,-30%,16 000 ₽,22858,2,https://lady-elka.ru/d/photo_2025-09-05_21-27-58.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  |  | ,TRUE,,,,,,,,,
Белла,Заснеженная,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом",26 500 ₽,185 см,132 см,869 шт,-30%,26 500 ₽,37858,2,https://lady-elka.ru/d/photo_2025-09-05_21-27-58.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  |  | ,TRUE,,,,,,,,,
Белла,Заснеженная,"Елка состоит из семипалых веток, с хвоей, имеющей хлопковое напыление. Неправильная форма создает сходство с натуральным деревом",38 500 ₽,215 см,148 см,1337 шт,-30%,38 500 ₽,55000,2,https://lady-elka.ru/d/photo_2025-09-05_21-27-58.jpg | https://lady-elka.ru/d/img_1935.jpg | https://lady-elka.ru/d/photo_2025-09-05_21-13-00.jpg |  |  | ,TRUE,,,,,,,,,
